Pergunta;Resposta
Pergunta,Qual é o propósito do modelo de demonstração financeira para Entidades do Setor Não Lucrativo em Portugal?;Resposta,O propósito é fornecer orientações detalhadas sobre as divulgações exigidas nas demonstrações financeiras dessas entidades.
Pergunta,Quais são as principais seções abordadas no modelo?;Resposta,O modelo aborda seções como identificação da entidade, referencial contabilístico, políticas contabilísticas, ativos fixos tangíveis, ativos intangíveis, entre outras.
Pergunta,O que é exigido na seção de Identificação da Entidade?;Resposta,Essa seção exige informações como a denominação da entidade, local da sede social, natureza da atividade e detalhes sobre entidades-mãe.
Pergunta,Por que é importante indicar o referencial contabilístico utilizado?;Resposta,É importante para demonstrar a conformidade com os padrões contabilísticos e para justificar eventuais derrogações das normas contabilísticas.
Pergunta,Quais são os tipos de políticas contabilísticas abordados no modelo?;Resposta,Os tipos incluem políticas gerais de mensuração, alterações nas políticas contabilísticas, alterações nas estimativas contabilísticas e correção de erros de períodos anteriores.
Pergunta,O que deve ser divulgado para cada classe de ativos fixos tangíveis?;Resposta,Devem ser divulgados critérios de mensuração, métodos de depreciação, vidas úteis, reconciliação da quantia escriturada e natureza dos bens do patrimônio histórico, artístico e cultural.
Pergunta,Quais são os tipos de instrumentos financeiros abordados no modelo?;Resposta,Os tipos incluem instrumentos financeiros mensurados ao justo valor, dívidas reconhecidas à data do balanço e ajustamentos de valor reconhecidos.
Pergunta,O que é uma provisão e qual é a sua divulgação exigida?;Resposta,Uma provisão é uma estimativa de um passivo presente e obrigatório. A divulgação exigida inclui a reconciliação da quantia escriturada no início e no fim do período.
Pergunta,Quais são os tipos de recebimentos mencionados no modelo?;Resposta,Os tipos incluem recebimentos de atividade, comerciais, capitais e prediais.
Pergunta,Qual é a importância da divulgação dos membros dos órgãos de administração, direção ou supervisão?;Resposta,A divulgação é importante para fornecer transparência sobre as remunerações, adiantamentos e compromissos assumidos por esses membros.
Pergunta,O que é considerado um evento material após a data do balanço?;Resposta,Um evento material após a data do balanço é aquele que tem uma natureza e efeitos financeiros significativos que surgiram após o fechamento do período contabilístico.
Pergunta,Quais são as informações necessárias para a reconciliação dos subsídios das entidades públicas?;Resposta,As informações necessárias incluem os aumentos e reduções dos subsídios das entidades públicas reconhecidos nos fundos patrimoniais.
Pergunta,O que é exigido na divulgação das políticas contabilísticas para o reconhecimento do rendimento?;Resposta,A divulgação exigida inclui os métodos adotados para determinar a fase de acabamento de transações que envolvem a prestação de serviços.
Pergunta,Quais são as informações exigidas na divulgação dos ativos biológicos e produtos agrícolas mensurados ao justo valor?;Resposta,As informações exigidas incluem a identificação das categorias de ativos, o valor total escriturado e as alterações no justo valor inscritas diretamente na demonstração de resultados.
Pergunta,Por que é importante divulgar as operações contratadas com partes relacionadas?;Resposta,É importante para fornecer transparência sobre transações que possam influenciar a posição financeira da entidade e para evitar conflitos de interesse.
